id,review,aspect
1,The shipping is very difficult to use and has caused me a lot of frustration.,shipping
2,The price is very difficult to use and has caused me a lot of frustration.,price
3,I am impressed with the customer service. It has exceeded my expectations.,customer service
4,I would give the price five stars. It has been a pleasure to use.,price
5,The price is very easy to use and has made my life much easier.,price
6,The price is not what I was looking for. I am very disappointed with my purchase.,price
7,I am extremely unhappy with the shipping. It was a waste of money.,shipping
8,The price is of poor quality. I would not recommend it.,price
9,The shipping is everything I wanted and more. I am very satisfied with my purchase.,shipping
10,I am very disappointed with the price. The price did not meet my expectations.,price
11,I am extremely happy with the product. It has been a great investment.,product
12,The shipping did not live up to my expectations. I would not recommend it to anyone.,shipping
13,The customer service is very difficult to use and has caused me a lot of frustration.,customer service
14,I am extremely happy with the product. It has been a great investment.,product
15,I would give the product one star. It was a terrible product.,product
16,The customer service did not live up to my expectations. I would not recommend it to anyone.,customer service
17,I had a terrible experience with the product. The product did not work as advertised.,product
18,The product is overpriced for the quality. I would not buy it again.,product
19,I am extremely unhappy with the shipping. It was a waste of money.,shipping
20,The price did not live up to my expectations. I would not recommend it to anyone.,price
21,I am very disappointed with the shipping. The shipping did not meet my expectations.,shipping
22,I am extremely unhappy with the price. It was a waste of money.,price
23,The product is overpriced for the quality. I would not buy it again.,product
24,The shipping is very difficult to use and has caused me a lot of frustration.,shipping
25,I would give the customer service five stars. It has been a pleasure to use.,customer service
26,The product is very difficult to use and has caused me a lot of frustration.,product
27,I had a terrible experience with the price. The price did not work as advertised.,price
28,The price has exceeded my expectations. I would recommend it to anyone.,price
29,The shipping is everything I wanted and more. I am very satisfied with my purchase.,shipping
30,The shipping is an excellent value for the price. I would buy it again.,shipping
31,The customer service is very easy to use and has made my life much easier.,customer service
32,The customer service is of very high quality. I would definitely recommend it.,customer service
33,I am extremely happy with the price. It has been a great investment.,price
34,I would give the customer service five stars. It has been a pleasure to use.,customer service
35,I had a terrible experience with the price. The price did not work as advertised.,price
36,I am extremely happy with the product. It has been a great investment.,product
37,I would give the shipping one star. It was a terrible product.,shipping
38,The product did not live up to my expectations. I would not recommend it to anyone.,product
39,The price is an excellent value for the price. I would buy it again.,price
40,The price is very difficult to use and has caused me a lot of frustration.,price
41,I am extremely happy with the shipping. It has been a great investment.,shipping
42,The price is very easy to use and has made my life much easier.,price
43,I am very unimpressed with the customer service. It is not worth the price.,customer service
44,I am very impressed with the price. It is a great product at a great price.,price
45,The customer service is everything I wanted and more. I am very satisfied with my purchase.,customer service
46,I would give the product five stars. It has been a pleasure to use.,product
47,The price is of poor quality. I would not recommend it.,price
48,I am very satisfied with the shipping. The shipping is exactly what I was looking for.,shipping
49,The customer service is of poor quality. I would not recommend it.,customer service
50,The customer service is very difficult to use and has caused me a lot of frustration.,customer service
51,I had a terrible experience with the product. The product did not work as advertised.,product
52,The shipping did not live up to my expectations. I would not recommend it to anyone.,shipping
53,I am very satisfied with the product. The product is exactly what I was looking for.,product
54,I am extremely happy with the customer service. It has been a great investment.,customer service
55,The price is of poor quality. I would not recommend it.,price
56,The product is not what I was looking for. I am very disappointed with my purchase.,product
57,I am very unimpressed with the product. It is not worth the price.,product
58,The price is not what I was looking for. I am very disappointed with my purchase.,price
59,I am very disappointed with the shipping. The shipping did not meet my expectations.,shipping
60,The price is overpriced for the quality. I would not buy it again.,price
61,The product has exceeded my expectations. I would recommend it to anyone.,product
62,I am very impressed with the customer service. It is a great product at a great price.,customer service
63,I am very disappointed with the customer service. The customer service did not meet my expectations.,customer service
64,I am very impressed with the customer service. It is a great product at a great price.,customer service
65,I am extremely happy with the shipping. It has been a great investment.,shipping
66,The price is not what I was looking for. I am very disappointed with my purchase.,price
67,I had a terrible experience with the shipping. The shipping did not work as advertised.,shipping
68,I am extremely unhappy with the price. It was a waste of money.,price
69,The shipping did not live up to my expectations. I would not recommend it to anyone.,shipping
70,The customer service is not what I was looking for. I am very disappointed with my purchase.,customer service
71,I would give the customer service five stars. It has been a pleasure to use.,customer service
72,The shipping is very difficult to use and has caused me a lot of frustration.,shipping
73,The price has exceeded my expectations. I would recommend it to anyone.,price
74,The shipping is very easy to use and has made my life much easier.,shipping
75,The product is overpriced for the quality. I would not buy it again.,product
76,I am very satisfied with the customer service. The customer service is exactly what I was looking for.,customer service
77,The product did not live up to my expectations. I would not recommend it to anyone.,product
78,The shipping is everything I wanted and more. I am very satisfied with my purchase.,shipping
79,I would give the product one star. It was a terrible product.,product
80,I would give the product five stars. It has been a pleasure to use.,product
81,The customer service is overpriced for the quality. I would not buy it again.,customer service
82,I am extremely happy with the shipping. It has been a great investment.,shipping
83,I am extremely happy with the customer service. It has been a great investment.,customer service
84,The price is not what I was looking for. I am very disappointed with my purchase.,price
85,The customer service is of poor quality. I would not recommend it.,customer service
86,I am very satisfied with the product. The product is exactly what I was looking for.,product
87,The shipping is an excellent value for the price. I would buy it again.,shipping
88,The customer service is very easy to use and has made my life much easier.,customer service
89,The price is of very high quality. I would definitely recommend it.,price
90,I had a terrible experience with the product. The product did not work as advertised.,product
91,The price is very difficult to use and has caused me a lot of frustration.,price
92,The shipping is an excellent value for the price. I would buy it again.,shipping
93,I am very disappointed with the shipping. The shipping did not meet my expectations.,shipping
94,The product is an excellent value for the price. I would buy it again.,product
95,The price did not live up to my expectations. I would not recommend it to anyone.,price
96,The customer service is very easy to use and has made my life much easier.,customer service
97,I had a terrible experience with the shipping. The shipping did not work as advertised.,shipping
98,I am very impressed with the price. It is a great product at a great price.,price
99,The shipping is overpriced for the quality. I would not buy it again.,shipping
100,I am very unimpressed with the price. It is not worth the price.,price
101,I am extremely happy with the price. It has been a great investment.,price
102,I am very satisfied with the customer service. The customer service is exactly what I was looking for.,customer service
103,The product did not live up to my expectations. I would not recommend it to anyone.,product
104,The customer service is of very high quality. I would definitely recommend it.,customer service
105,I am extremely happy with the customer service. It has been a great investment.,customer service
106,The shipping is an excellent value for the price. I would buy it again.,shipping
107,The customer service is an excellent value for the price. I would buy it again.,customer service
108,I am impressed with the customer service. It has exceeded my expectations.,customer service
109,I am very unimpressed with the price. It is not worth the price.,price
110,I am very impressed with the product. It is a great product at a great price.,product
111,The product did not live up to my expectations. I would not recommend it to anyone.,product
112,The price is of very high quality. I would definitely recommend it.,price
113,I am very unimpressed with the shipping. It is not worth the price.,shipping
114,I would give the shipping one star. It was a terrible product.,shipping
115,I am extremely unhappy with the shipping. It was a waste of money.,shipping
116,I am very satisfied with the shipping. The shipping is exactly what I was looking for.,shipping
117,The price is of very high quality. I would definitely recommend it.,price
118,The price is not what I was looking for. I am very disappointed with my purchase.,price
119,I am very disappointed with the shipping. The shipping did not meet my expectations.,shipping
120,The shipping has exceeded my expectations. I would recommend it to anyone.,shipping
121,The product is very easy to use and has made my life much easier.,product
122,I would give the shipping five stars. It has been a pleasure to use.,shipping
